,Unnamed: 0,Filing Name,Filing Date,District Court,Exchange,Ticker,HeadQuarters,Listing
0,0,Holley Inc.,11/06/2023,W.D. Kentucky,New York SE,HLLY,Headquarters: United States,Market Status: Public (Listed)
1,1,"Outlook Therapeutics, Inc.",11/03/2023,D. New Jersey,NASDAQ,OTLK,Headquarters: United States,Market Status: Public (Listed)
2,2,"SolarEdge Technologies, Inc.",11/03/2023,S.D. New York,NASDAQ,SEDG,Headquarters: Israel,Market Status: Public (Listed)
3,3,Barclays PLC : American Depositary Receipts,11/01/2023,C.D. California,New York SE,BCS,Headquarters: United Kingdom,Market Status: Public (Listed)
4,4,Brainstorm Cell Therapeutics Inc.,11/01/2023,S.D. New York,NASDAQ,BCLI,Headquarters: United States,Market Status: Public (Listed)
5,5,DocGo Inc.,10/27/2023,S.D. New York,NASDAQ,DCGO,Headquarters: United States,Market Status: Public (Listed)
6,6,SunPower Corporation,10/27/2023,N.D. California,NASDAQ,SPWR,Headquarters: United States,Market Status: Public (Listed)
7,7,AdaptHealth Corp.,10/24/2023,E.D. Pennsylvania,NASDAQ,AHCO,Headquarters: United States,Market Status: Public (Listed)
8,8,Adobe Inc.,10/20/2023,S.D. New York,NASDAQ,ADBE,Headquarters: United States,Market Status: Public (Listed)
9,9,Credit Suisse Group AG : AT1 Bonds,10/20/2023,S.D. New York,,,Headquarters: Switzerland,Market Status: Public (Listed)
10,10,Farfetch Limited,10/20/2023,D. Maryland,New York SE,FTCH,Headquarters: United Kingdom,Market Status: Public (Listed)
11,11,"DermTech, Inc.",10/16/2023,S.D. California,NASDAQ,DMTK,Headquarters: United States,Market Status: Public (Listed)
12,12,Capstone Green Energy Corp.,10/13/2023,C.D. California,NASDAQ,CGRN,Headquarters: United States,Market Status: Public (Listed)
13,13,Nikola Corporation,10/13/2023,D. Arizona,NASDAQ,NKLA,Headquarters: United States,Market Status: Public (Listed)
14,14,"Advance Auto Parts, Inc.",10/09/2023,E.D. North Carolina,New York SE,AAP,Headquarters: United States,Market Status: Public (Listed)
15,15,Kenvue Inc.,10/09/2023,D. New Jersey,New York SE,KVUE,Headquarters: United States,Market Status: Public (Listed)
16,16,DLocal Limited,10/06/2023,E.D. New York,NASDAQ,DLO,Headquarters: Uruguay,Market Status: Public (Listed)
17,17,"Emisphere Technologies, Inc.",10/04/2023,D. New Jersey,OTC-BB,EMIS,Headquarters: United States,Market Status: Public (Listed)
18,18,GigaCloud Technology Inc.,10/04/2023,C.D. California,NASDAQ,GCT,Headquarters: United States,Market Status: Public (Listed)
19,19,Binance Holdings Limited : Cryptocurrency,10/02/2023,N.D. California,,,Headquarters: United States,Market Status: N/A
20,20,"Medical Properties Trust, Inc.",09/29/2023,S.D. New York,New York SE,MPW,Headquarters: United States,Market Status: Public (Listed)
21,21,"PureCycle Technologies, Inc.",09/29/2023,S.D. New York,NASDAQ,PCT,Headquarters: United States,Market Status: Public (Listed)
22,22,"Archer Aviation, Inc.",09/21/2023,N.D. California,New York SE,ACHR,Headquarters: United States,Market Status: Public (Listed)
23,23,"CS Disco, Inc.",09/19/2023,S.D. New York,New York SE,LAW,Headquarters: United States,Market Status: Public (Listed)
24,24,"Lumen Technologies, Inc.",09/15/2023,W.D. Louisiana,New York SE,LUMN,Headquarters: United States,Market Status: Public (Listed)
25,25,"Myovant Sciences, Ltd.",09/13/2023,S.D. New York,New York SE,MYOV,Headquarters: United Kingdom,Market Status: Public (Listed)
26,26,"DigitalOcean Holdings, Inc.",09/12/2023,S.D. New York,New York SE,DOCN,Headquarters: United States,Market Status: Public (Listed)
27,27,"Enviva, Inc.",09/12/2023,D. Maryland,New York SE,EVA,Headquarters: United States,Market Status: Public (Listed)
28,28,Integra LifeSciences Holdings Corporation,09/12/2023,D. New Jersey,NASDAQ,IART,Headquarters: United States,Market Status: Public (Listed)
29,29,PacWest Bancorp,09/11/2023,C.D. California,NASDAQ,PACW,Headquarters: United States,Market Status: Public (Listed)
0,0,Verizon Communications Inc.,08/01/2023,D. New Jersey,New York SE,VZ,Headquarters: United States,Market Status: Public (Listed)
1,1,"Aldeyra Therapeutics, Inc.",07/31/2023,D. Massachusetts,NASDAQ,ALDX,Headquarters: United States,Market Status: Public (Listed)
2,2,AT&T Inc.,07/28/2023,D. New Jersey,New York SE,T,Headquarters: United States,Market Status: Public (Listed)
3,3,"Syneos Health, Inc.",07/27/2023,S.D. New York,NASDAQ,SYNH,Headquarters: United States,Market Status: Public (Listed)
4,4,"Bausch Health Companies, Inc.",07/26/2023,D. New Jersey,New York SE,BHC,Headquarters: United States,Market Status: Public (Listed)
5,5,Lordstown Motors Corp.,07/26/2023,N.D. Ohio,NASDAQ,RIDE,Headquarters: United States,Market Status: Public (Listed)
6,6,"Sumo Logic, Inc.",07/25/2023,N.D. California,NASDAQ,SUMO,Headquarters: United States,Market Status: Public (Listed)
7,7,Sea Limited : American Depositary Shares,07/21/2023,D. Arizona,New York SE,SE,Headquarters: Singapore,Market Status: Public (Listed)
8,8,Danaher Corporation,07/17/2023,D. District Columbia,New York SE,DHR,Headquarters: United States,Market Status: Public (Listed)
9,9,Proterra Inc.,07/14/2023,N.D. California,NASDAQ,PTRA,Headquarters: United States,Market Status: Public (Listed)
10,10,Rain Oncology Inc.,07/14/2023,N.D. California,NASDAQ,RAIN,Headquarters: United States,Market Status: Public (Listed)
11,11,"Baxter International, Inc.",07/12/2023,N.D. Illinois,New York SE,BAX,Headquarters: United States,Market Status: Public (Listed)
12,12,Seagate Technology Holdings plc,07/10/2023,N.D. California,NASDAQ,STX,Headquarters: United States,Market Status: Public (Listed)
13,13,"BioXcel Therapeutics, Inc.",07/07/2023,D. Connecticut,NASDAQ,BTAI,Headquarters: United States,Market Status: Public (Listed)
14,14,Mallinckrodt plc,07/07/2023,D. New Jersey,New York SE,MNK,Headquarters: Ireland,Market Status: Public (Listed)
15,15,Hub Cyber Security Ltd.,07/06/2023,S.D. New York,NASDAQ,HUBC,Headquarters: Israel,Market Status: Public (Listed)
16,16,"ImmunityBio, Inc.",06/30/2023,S.D. California,NASDAQ,IBRX,Headquarters: United States,Market Status: Public (Listed)
17,17,"Cornerstone Building Brands, Inc.",06/27/2023,D. Delaware,New York SE,CNR,Headquarters: United States,Market Status: Public (Listed)
18,18,Arrow Financial Corporation,06/23/2023,N.D. New York,NASDAQ,AROW,Headquarters: United States,Market Status: Public (Listed)
19,19,GDS Holdings Limited : American Depositary Shares,06/21/2023,C.D. California,NASDAQ,GDS,Headquarters: China,Market Status: Public (Listed)
20,20,UP Fintech Holding Limited : American Depositary Shares,06/20/2023,C.D. California,NASDAQ,TIGR,Headquarters: China,Market Status: Public (Listed)
21,21,NovoCure Limited,06/19/2023,S.D. New York,NASDAQ,NVCR,Headquarters: Bailiwick of Jersey,Market Status: Public (Listed)
22,22,TriplePoint Venture Growth BDC Corp.,06/16/2023,N.D. California,New York SE,TPVG,Headquarters: United States,Market Status: Public (Listed)
23,23,DZS Inc.,06/14/2023,E.D. Texas,NASDAQ,DZSI,Headquarters: United States,Market Status: Public (Listed)
24,24,"Electric Last Mile Solutions, Inc.",06/14/2023,D. Delaware,NASDAQ,ELMS,Headquarters: United States,Market Status: Public (Listed)
25,25,Futu Holdings Limited : American Depositary Shares,06/12/2023,D. New Jersey,NASDAQ,FUTU,Headquarters: China,Market Status: Public (Listed)
26,26,DouYu International Holdings Limited : American Depositary Shares,06/09/2023,D. New Jersey,NASDAQ,DOYU,Headquarters: China,Market Status: Public (Listed)
27,27,"Peloton Interactive, Inc.",06/09/2023,E.D. New York,NASDAQ,PTON,Headquarters: United States,Market Status: Public (Listed)
28,28,"Tingo Group, Inc.",06/08/2023,D. New Jersey,NASDAQ,TIO,Headquarters: United States,Market Status: Public (Listed)
29,29,"SentinelOne, Inc.",06/06/2023,N.D. California,New York SE,S,Headquarters: United States,Market Status: Public (Listed)
