,Filing Name,Filing Date,District Court,Exchange,Ticker,HeadQuarters,Listing
0,Holley Inc.,11/06/2023,W.D. Kentucky,New York SE,HLLY,Headquarters: United States,Market Status: Public (Listed)
1,"Outlook Therapeutics, Inc.",11/03/2023,D. New Jersey,NASDAQ,OTLK,Headquarters: United States,Market Status: Public (Listed)
2,"SolarEdge Technologies, Inc.",11/03/2023,S.D. New York,NASDAQ,SEDG,Headquarters: Israel,Market Status: Public (Listed)
3,Barclays PLC : American Depositary Receipts,11/01/2023,C.D. California,New York SE,BCS,Headquarters: United Kingdom,Market Status: Public (Listed)
4,Brainstorm Cell Therapeutics Inc.,11/01/2023,S.D. New York,NASDAQ,BCLI,Headquarters: United States,Market Status: Public (Listed)
5,DocGo Inc.,10/27/2023,S.D. New York,NASDAQ,DCGO,Headquarters: United States,Market Status: Public (Listed)
6,SunPower Corporation,10/27/2023,N.D. California,NASDAQ,SPWR,Headquarters: United States,Market Status: Public (Listed)
7,AdaptHealth Corp.,10/24/2023,E.D. Pennsylvania,NASDAQ,AHCO,Headquarters: United States,Market Status: Public (Listed)
8,Adobe Inc.,10/20/2023,S.D. New York,NASDAQ,ADBE,Headquarters: United States,Market Status: Public (Listed)
9,Credit Suisse Group AG : AT1 Bonds,10/20/2023,S.D. New York,N/A,N/A,Headquarters: Switzerland,Market Status: Public (Listed)
10,Farfetch Limited,10/20/2023,D. Maryland,New York SE,FTCH,Headquarters: United Kingdom,Market Status: Public (Listed)
11,"DermTech, Inc.",10/16/2023,S.D. California,NASDAQ,DMTK,Headquarters: United States,Market Status: Public (Listed)
12,Capstone Green Energy Corp.,10/13/2023,C.D. California,NASDAQ,CGRN,Headquarters: United States,Market Status: Public (Listed)
13,Nikola Corporation,10/13/2023,D. Arizona,NASDAQ,NKLA,Headquarters: United States,Market Status: Public (Listed)
14,"Advance Auto Parts, Inc.",10/09/2023,E.D. North Carolina,New York SE,AAP,Headquarters: United States,Market Status: Public (Listed)
15,Kenvue Inc.,10/09/2023,D. New Jersey,New York SE,KVUE,Headquarters: United States,Market Status: Public (Listed)
16,DLocal Limited,10/06/2023,E.D. New York,NASDAQ,DLO,Headquarters: Uruguay,Market Status: Public (Listed)
17,"Emisphere Technologies, Inc.",10/04/2023,D. New Jersey,OTC-BB,EMIS,Headquarters: United States,Market Status: Public (Listed)
18,GigaCloud Technology Inc.,10/04/2023,C.D. California,NASDAQ,GCT,Headquarters: United States,Market Status: Public (Listed)
19,Binance Holdings Limited : Cryptocurrency,10/02/2023,N.D. California,N/A,N/A,Headquarters: United States,Market Status: N/A
20,"Medical Properties Trust, Inc.",09/29/2023,S.D. New York,New York SE,MPW,Headquarters: United States,Market Status: Public (Listed)
21,"PureCycle Technologies, Inc.",09/29/2023,S.D. New York,NASDAQ,PCT,Headquarters: United States,Market Status: Public (Listed)
22,"Archer Aviation, Inc.",09/21/2023,N.D. California,New York SE,ACHR,Headquarters: United States,Market Status: Public (Listed)
23,"CS Disco, Inc.",09/19/2023,S.D. New York,New York SE,LAW,Headquarters: United States,Market Status: Public (Listed)
24,"Lumen Technologies, Inc.",09/15/2023,W.D. Louisiana,New York SE,LUMN,Headquarters: United States,Market Status: Public (Listed)
25,"Myovant Sciences, Ltd.",09/13/2023,S.D. New York,New York SE,MYOV,Headquarters: United Kingdom,Market Status: Public (Listed)
26,"DigitalOcean Holdings, Inc.",09/12/2023,S.D. New York,New York SE,DOCN,Headquarters: United States,Market Status: Public (Listed)
27,"Enviva, Inc.",09/12/2023,D. Maryland,New York SE,EVA,Headquarters: United States,Market Status: Public (Listed)
28,Integra LifeSciences Holdings Corporation,09/12/2023,D. New Jersey,NASDAQ,IART,Headquarters: United States,Market Status: Public (Listed)
29,PacWest Bancorp,09/11/2023,C.D. California,NASDAQ,PACW,Headquarters: United States,Market Status: Public (Listed)
